home,away,result
Chelsea,Blackburn,A
Wimbledon,Chelsea,D
Ipswich,Chelsea,H
Chelsea,QPR,H
Chelsea,Sheffield Weds,D
Tottenham,Chelsea,D
Chelsea,Man United,H
Coventry,Chelsea,D
Chelsea,Liverpool,H
West Ham,Chelsea,H
Chelsea,Norwich,A
Aston Villa,Chelsea,H
Chelsea,Oldham,A
Leeds,Chelsea,H
Chelsea,Arsenal,A
Chelsea,Man City,D
Sheffield United,Chelsea,H
Blackburn,Chelsea,H
Chelsea,Ipswich,D
Southampton,Chelsea,H
Chelsea,Newcastle,H
Swindon,Chelsea,A
Chelsea,Everton,H
Norwich,Chelsea,D
Chelsea,Aston Villa,D
Everton,Chelsea,H
Oldham,Chelsea,H
Chelsea,Tottenham,H
Man United,Chelsea,A
Chelsea,Wimbledon,H
Liverpool,Chelsea,H
Chelsea,West Ham,H
Sheffield Weds,Chelsea,H
Chelsea,Southampton,H
Newcastle,Chelsea,D
QPR,Chelsea,D
Arsenal,Chelsea,H
Chelsea,Leeds,D
Chelsea,Swindon,H
Man City,Chelsea,D
Chelsea,Coventry,A
Chelsea,Sheffield United,H
Chelsea,Norwich,H
Leeds,Chelsea,A
Chelsea,Man City,H
Newcastle,Chelsea,H
Chelsea,Blackburn,A
Crystal Palace,Chelsea,A
Chelsea,West Ham,A
Chelsea,Leicester,H
Arsenal,Chelsea,H
Chelsea,Ipswich,H
Sheffield Weds,Chelsea,D
Chelsea,Coventry,D
Liverpool,Chelsea,H
Nott'm Forest,Chelsea,A
Tottenham,Chelsea,D
Chelsea,Everton,A
Southampton,Chelsea,A
Norwich,Chelsea,H
Chelsea,Liverpool,D
Chelsea,Man United,A
Aston Villa,Chelsea,H
Chelsea,Wimbledon,D
Chelsea,Sheffield Weds,D
Ipswich,Chelsea,D
Chelsea,Nott'm Forest,A
Coventry,Chelsea,D
Chelsea,Tottenham,D
West Ham,Chelsea,A
Chelsea,Crystal Palace,D
Man City,Chelsea,A
Chelsea,Leeds,A
Blackburn,Chelsea,H
QPR,Chelsea,H
Chelsea,Newcastle,D
Wimbledon,Chelsea,D
Chelsea,Southampton,A
Chelsea,Aston Villa,H
Man United,Chelsea,D
Chelsea,QPR,H
Everton,Chelsea,D
Leicester,Chelsea,D
Chelsea,Arsenal,H
Chelsea,Everton,D
Nott'm Forest,Chelsea,D
Middlesbrough,Chelsea,H
Chelsea,Coventry,D
West Ham,Chelsea,A
Chelsea,Southampton,H
Newcastle,Chelsea,H
Chelsea,Arsenal,H
Aston Villa,Chelsea,A
Chelsea,Man United,A
Blackburn,Chelsea,H
Chelsea,Sheffield Weds,D
Leeds,Chelsea,H
Chelsea,Bolton,H
Chelsea,Tottenham,D
Man United,Chelsea,D
Chelsea,Newcastle,H
Arsenal,Chelsea,D
Man City,Chelsea,A
Chelsea,Wimbledon,A
Chelsea,Liverpool,D
QPR,Chelsea,A
Everton,Chelsea,D
Chelsea,Nott'm Forest,H
Chelsea,Middlesbrough,H
Coventry,Chelsea,H
Chelsea,West Ham,A
Southampton,Chelsea,A
Wimbledon,Chelsea,D
Chelsea,Man City,D
Liverpool,Chelsea,H
Chelsea,QPR,D
Chelsea,Aston Villa,A
Bolton,Chelsea,H
Chelsea,Leeds,H
Sheffield Weds,Chelsea,D
Tottenham,Chelsea,D
Chelsea,Blackburn,A
Southampton,Chelsea,D
Chelsea,Middlesbrough,H
Chelsea,Coventry,H
Arsenal,Chelsea,D
Sheffield Weds,Chelsea,A
Chelsea,Aston Villa,D
Liverpool,Chelsea,H
Chelsea,Nott'm Forest,D
Leicester,Chelsea,A
Chelsea,Wimbledon,A
Chelsea,Tottenham,H
Man United,Chelsea,A
Blackburn,Chelsea,D
Chelsea,Newcastle,D
Leeds,Chelsea,H
Chelsea,Everton,D
Sunderland,Chelsea,H
Chelsea,West Ham,H
Aston Villa,Chelsea,A
Chelsea,Sheffield Weds,D
Chelsea,Liverpool,H
Nott'm Forest,Chelsea,H
Chelsea,Derby,H
Tottenham,Chelsea,A
Chelsea,Man United,D
Derby,Chelsea,H
Chelsea,Blackburn,D
West Ham,Chelsea,H
Chelsea,Sunderland,H
Chelsea,Southampton,H
Middlesbrough,Chelsea,H
Chelsea,Arsenal,A
